draft_id,pack_number,pick_number,card_name,card_name_norm,offered_card_gihwr,is_picked
0433c745-bba7-4005-b265-62a9e8317662,1,2,Drix Fatemaker,DRIX FATEMAKER,0.5379999999999999,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Selfcraft Mechan,SELFCRAFT MECHAN,0.565,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Zealous Display,ZEALOUS DISPLAY,0.519,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Hullcarver,HULLCARVER,0.557,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Squire's Lightblade,SQUIRE'S LIGHTBLADE,0.535,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Bombard,BOMBARD,0.54,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Susurian Voidborn,SUSURIAN VOIDBORN,0.555,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Remnant Elemental,REMNANT ELEMENTAL,0.527,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Uthros Scanship,UTHROS SCANSHIP,0.5660000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Pain for All,PAIN FOR ALL,0.547,0
0433c745-bba7-4005-b265-62a9e8317662,1,2,Synthesizer Labship,SYNTHESIZER LABSHIP,0.593,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Command Bridge,COMMAND BRIDGE,0.525,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Divert Disaster,DIVERT DISASTER,0.565,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Thawbringer,THAWBRINGER,0.555,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Flight-Deck Coordinator,FLIGHT-DECK COORDINATOR,0.54,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Pinnacle Kill-Ship,PINNACLE KILL-SHIP,0.5660000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Nebula Dragon,NEBULA DRAGON,0.563,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Virus Beetle,VIRUS BEETLE,0.5710000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Weftstalker Ardent,WEFTSTALKER ARDENT,0.535,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Scour for Scrap,SCOUR FOR SCRAP,0.541,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Reroute Systems,REROUTE SYSTEMS,0.523,0
0433c745-bba7-4005-b265-62a9e8317662,1,3,Synthesizer Labship,SYNTHESIZER LABSHIP,0.593,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Thaumaton Torpedo,THAUMATON TORPEDO,0.494,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Thawbringer,THAWBRINGER,0.555,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Brightspear Zealot,BRIGHTSPEAR ZEALOT,0.5329999999999999,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Decode Transmissions,DECODE TRANSMISSIONS,0.526,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Plasma Bolt,PLASMA BOLT,0.552,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Illvoi Operative,ILLVOI OPERATIVE,0.54,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Gravpack Monoist,GRAVPACK MONOIST,0.568,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Eumidian Terrabotanist,EUMIDIAN TERRABOTANIST,0.564,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Uthros Scanship,UTHROS SCANSHIP,0.5660000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,4,Dual-Sun Technique,DUAL-SUN TECHNIQUE,0.512,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Sinister Cryologist,SINISTER CRYOLOGIST,0.48700000000000004,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Banishing Light,BANISHING LIGHT,0.581,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Germinating Wurm,GERMINATING WURM,0.5589999999999999,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Slagdrill Scrapper,SLAGDRILL SCRAPPER,0.537,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Temporal Intervention,TEMPORAL INTERVENTION,0.505,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Scrounge for Eternity,SCROUNGE FOR ETERNITY,0.493,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Reroute Systems,REROUTE SYSTEMS,0.523,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Survey Mechan,SURVEY MECHAN,0.562,0
0433c745-bba7-4005-b265-62a9e8317662,1,5,Weapons Manufacturing,WEAPONS MANUFACTURING,0.479,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Illvoi Galeblade,ILLVOI GALEBLADE,0.546,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Bombard,BOMBARD,0.54,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Thaumaton Torpedo,THAUMATON TORPEDO,0.494,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Thawbringer,THAWBRINGER,0.555,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,0
0433c745-bba7-4005-b265-62a9e8317662,1,6,Emergency Eject,EMERGENCY EJECT,0.536,0
